"Study_ID","Plot_ID","Year","Crop_species","Lat","Long"
"BIOMHE","2","2020","Triticale (87.5%), pea (12.5%)","47.9284249394139","-1.90460243066504"
"BIOMHE","3","2020","Triticale (87.5%), pea (12.5%)","47.9318354067238","-1.90465308528908"
"BIOMHE","5","2020","Winter wheat","47.9254897532707","-1.89325245005254"
"BIOMHE","6","2020","Spring oat","48.030887280978","-1.43855571366516"
"BIOMHE","7","2020","Winter wheat","47.9221253135063","-1.38506493067285"
"BIOMHE","8","2020","Winter wheat","47.9392436085788","-1.36487427531331"
"BIOMHE","9","2020","Winter wheat","47.8772195965237","-1.89053211407249"
"BIOMHE","10","2020","Winter wheat","48.0691089700277","-1.41646722382902"
"BIOMHE","11","2020","Winter wheat","48.0734279095817","-1.41397281738102"
"BIOMHE","15","2020","Triticale (73%), pea (27%)","48.0290909640367","-1.40593496125565"
"BIOMHE","17","2020","Winter wheat","48.0096643906661","-1.41030536736089"
"BIOMHE","18","2020","Winter wheat","47.8823145266418","-1.89566057431759"
"BIOMHE","21","2020","Winter wheat","48.0487777063613","-1.4604034630352"
"BIOMHE","22","2020","Winter wheat","48.0486146166361","-1.45221274719078"
"BIOMHE","23","2020","Winter wheat","48.035983495026","-1.44945915364795"
"BIOMHE","24","2020","Winter wheat","48.0369161660041","-1.50144786631633"
"BIOMHE","25","2020","Winter wheat","48.0349057122915","-1.50178415196659"
"BIOMHE","28","2020","Winter wheat","48.04286523076","-1.46943557840532"
"BIOMHE","30","2020","Winter wheat","48.008287913886","-1.39066193866069"
"BIOMHE","31","2020","Winter wheat","48.0320963059333","-1.43501851586623"
"BIOMHE","33","2020","Winter wheat","47.937970560197","-1.96882905344738"
"BIOMHE","34","2020","Winter wheat","47.8972993611068","-1.99126397796401"
"BIOMHE","36","2020","Winter wheat","48.1150388011047","-1.37829186446989"
"BIOMHE","39","2020","Winter wheat","47.7971607984068","-1.69157964926323"
"BIOMHE","42","2020","Winter wheat","47.9485197041529","-1.6094912623607"
"BIOMHE","43","2020","Winter wheat (78%), faba bean (21%)","47.8001990412209","-1.71667748120499"
"BIOMHE","44","2020","Rye, linen","47.8238508042653","-1.69713676402525"
"BIOMHE","45","2020","Winter wheat","47.9895041551202","-1.99493833261704"
"BIOMHE","47","2020","Faba bean (55.5%), triticale (44.5%)","47.9867481253734","-1.29952235588696"
"BIOMHE","49","2020","Triticale (50%), pea (35%), faba bean (15%)","48.0841835758872","-1.35960408524948"
"BIOMHE","50","2020","Winter wheat","48.1189049746627","-1.38791935647631"
"BIOMHE","51","2020","Winter wheat","47.8178903986809","-1.7056073883062"
"BIOMHE","54","2020","Triticale (50%), pea (50%)","47.9208679170578","-1.87452673665655"
"BIOMHE","57","2020","Pea (34%), oat (27%), faba bean (24%), triticale (15%)","47.9135312018225","-1.82722887961935"
"BIOMHE","58","2020","Winter wheat","47.9152498793402","-1.83016696700041"
"BIOMHE","60","2020","Triticale","47.9414650058861","-1.36773046352686"
"BIOMHE","99","2020","Winter wheat","47.9508505730886","-1.92845089653379"
"BIOMHE","12","2020","Winter wheat","47.9250858618155","-1.91159347716614"
"BIOMHE","16","2020","Winter wheat","48.0160913864715","-1.41097886888567"
"BIOMHE","20","2020","Winter wheat","47.9521948129069","-1.60916618800149"
"DIVAG","12AB-M","2019","Triticale, pea, oat","47.9313803490993","-1.43579491717234"
"DIVAG","14AB-M","2019","Triticale, faba bean","47.9476619652557","-1.60516692704469"
"DIVAG","15AB-M2","2019","Spelt, faba bean","47.8204660777319","-1.6960931126953"
"DIVAG","17AB-M","2019","Winter wheat + ?","47.8788397694815","-1.89622781956591"
"DIVAG","18AB-M1","2019","Triticale, pea","47.9266828400212","-1.89130035350302"
"DIVAG","18AB-M2","2019","Triticale, pea","47.9244622588454","-1.90221904684802"
"DIVAG","18AB-M3","2019","Triticale, pea","47.9268071063631","-1.88078024089924"
"DIVAG","20AB-P1","2019","Winter wheat","47.996651701327","-1.42168511180599"
"DIVAG","20AB-P2","2019","Winter wheat","47.9982702694404","-1.42211737902343"
"DIVAG","21AB-M1","2019","Triticale, spelt, faba bean","47.9500506182775","-1.94994860444824"
"DIVAG","21AB-M2","2019","Triticale, spelt, faba bean","47.9537180852008","-1.95244036447777"
"DIVAG","23AB-M","2019","Triticale, faba bean","47.9846377693926","-1.30428976310588"
"DIVAG","24AB-P","2019","Winter wheat","47.9625943695816","-1.62219278335369"
"DIVAG","25AB-M1","2019","Triticale, pea","47.8702079063239","-1.96717561417665"
"DIVAG","25AB-M2","2019","Meslin","47.8703228527814","-1.97900495035351"
"DIVAG","26AB-M","2019","Triticale, oat, pea, faba bean","47.9181570986104","-1.98122585691256"
"DIVAG","27AB-M","2019","Triticale, spelt, faba bean","47.9664554626538","-1.91790851578631"
"DIVAG","27AB-P","2019","Winter wheat","47.9519187294938","-1.92380380312343"
"DIVAG","8AB-M","2019","Triticale, pea","48.0323342322222","-1.40921952590794"
